2026-03-16 15:00:46 | INFO     | whisper_transcriber.audio.devices:27 | Default loopback: [20] Speakers (TOPPING USB DAC) [Loopback] (48000 Hz, 2 ch)
2026-03-16 15:00:46 | INFO     | whisper_transcriber.audio.capture:56 | loopback capture opened: device=20 rate=48000 ch=2
2026-03-16 15:00:46 | INFO     | whisper_transcriber.io.transcript_writer:36 | Transcript files opened in C:\workshops\workshopLiveTranscribeII\transcripts\[16-03-26] - [15-00]
2026-03-16 15:00:46 | INFO     | whisper_transcriber.audio.accumulator:96 | Accumulator thread started
2026-03-16 15:00:46 | INFO     | whisper_transcriber.stt.worker:48 | Transcription worker started
2026-03-16 15:00:46 | INFO     | whisper_transcriber.bootstrap:129 | Session started in C:\workshops\workshopLiveTranscribeII\transcripts\[16-03-26] - [15-00]
2026-03-16 15:00:49 | INFO     | whisper_transcriber.stt.whisper_engine:44 | Using local turbo model at C:\workshops\workshopLiveTranscribeII\data\models\turbo-local
2026-03-16 15:00:49 | INFO     | whisper_transcriber.stt.whisper_engine:52 | Loading model 'C:\workshops\workshopLiveTranscribeII\data\models\turbo-local' (compute=float16, device=cuda)
2026-03-16 15:00:52 | INFO     | whisper_transcriber.stt.whisper_engine:145 | GPU: NVIDIA GeForce RTX 4070 | VRAM: 12.0 GB
2026-03-16 15:00:52 | INFO     | whisper_transcriber.stt.whisper_engine:73 | Model loaded: turbo (float16)
2026-03-16 15:01:17 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:01:17 | INFO     | faster_whisper:895 | VAD filter removed 00:02.944 of audio
2026-03-16 15:01:17 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:00.648], [00:01.688 -> 00:12.808], [00:13.976 -> 00:22.600], [00:22.840 -> 00:28.872], [00:29.368 -> 00:30.000]
2026-03-16 15:01:17 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:01:20 | DEBUG    | faster_whisper:1183 | Processing segment at 00:26.140
2026-03-16 15:01:21 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 0: 3.84s inference, 13 segments, speech: 27.1/30.0s
2026-03-16 15:01:42 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:01:42 | INFO     | faster_whisper:895 | VAD filter removed 00:01.968 of audio
2026-03-16 15:01:42 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:03.880], [00:04.376 -> 00:06.568], [00:06.808 -> 00:14.216], [00:14.680 -> 00:20.520], [00:20.728 -> 00:25.192], [00:25.400 -> 00:27.112], [00:27.320 -> 00:28.008], [00:28.152 -> 00:30.000]
2026-03-16 15:01:42 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:01:43 | DEBUG    | faster_whisper:1183 | Processing segment at 00:27.840
2026-03-16 15:01:43 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 1: 0.89s inference, 15 segments, speech: 28.0/30.0s
2026-03-16 15:02:07 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:02:07 | INFO     | faster_whisper:895 | VAD filter removed 00:03.288 of audio
2026-03-16 15:02:07 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.440 -> 00:02.120], [00:02.328 -> 00:03.016], [00:03.160 -> 00:11.848], [00:11.992 -> 00:14.888], [00:15.256 -> 00:16.968], [00:17.176 -> 00:19.880], [00:20.216 -> 00:25.416], [00:25.720 -> 00:27.560], [00:28.696 -> 00:30.000]
2026-03-16 15:02:07 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:02:08 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 2: 0.81s inference, 14 segments, speech: 26.7/30.0s
2026-03-16 15:02:32 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:02:32 | INFO     | faster_whisper:895 | VAD filter removed 00:25.488 of audio
2026-03-16 15:02:32 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.696 -> 00:02.536], [00:03.704 -> 00:06.376]
2026-03-16 15:02:32 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:02:32 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 3: 0.45s inference, 1 segments, speech: 4.5/30.0s
2026-03-16 15:02:57 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:02:57 | INFO     | faster_whisper:895 | VAD filter removed 00:15.352 of audio
2026-03-16 15:02:57 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:10.680 -> 00:11.336], [00:13.400 -> 00:19.112], [00:19.672 -> 00:22.728], [00:24.600 -> 00:25.800], [00:25.976 -> 00:30.000]
2026-03-16 15:02:57 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:02:57 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 4: 0.47s inference, 2 segments, speech: 14.6/30.0s
2026-03-16 15:02:57 | DEBUG    | whisper_transcriber.stt.chunk_merger:66 | Held back boundary segment: 'O sabés qué, si lo de triangulación te l' [124.8-130.2]
2026-03-16 15:03:22 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:03:22 | INFO     | faster_whisper:895 | VAD filter removed 00:00.992 of audio
2026-03-16 15:03:22 | DEBUG    | faster_whisper:901 | VAD filter kept the following audio segments: [00:00.000 -> 00:00.776], [00:00.984 -> 00:08.360], [00:08.536 -> 00:12.904], [00:13.304 -> 00:23.208], [00:23.416 -> 00:30.000]
2026-03-16 15:03:22 | DEBUG    | faster_whisper:1183 | Processing segment at 00:00.000
2026-03-16 15:03:22 | INFO     | whisper_transcriber.stt.worker:101 | Chunk 5: 0.70s inference, 8 segments, speech: 29.0/30.0s
2026-03-16 15:03:22 | INFO     | whisper_transcriber.stt.chunk_merger:92 | Merged boundary segment: 'O sabés qué, si lo de triangulación te lleva una hora o dos,' [124.8-132.3]
2026-03-16 15:03:47 | INFO     | faster_whisper:881 | Processing audio with duration 00:30.000
2026-03-16 15:03:47 | INFO     | faster_whisper:895 | VAD filter removed 00:03.896 of audio
